,CNPJ,NOME_EMPRESA,SETOR,TICKER,NOME
75,43.776.517/0001-80,SABESP,"Saneamento, Serv. Água e Gás",SBSP3,SABESP
76,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,Bancos,SANB11,SANTANDER BR
77,20.141.321/0001-13,SIDERURGICA PAINS,Metalurgia e Siderurgia,CSNA3,SID NACIONAL
78,44.081.677/0001-77,AMER DO SUL LEASING,Arrendamento Mercantil,SULA11,SUL AMERICA
79,60.651.726/0001-16,SUZANO,Papel e Celulose,SUZB3,SUZANO S.A.
80,07.859.971/0001-30,TAESA TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Emp. Adm. Part. - Energia Elétrica,TAEE11,TAESA
81,02.558.157/0001-62,TELEFÔNICA BRASIL,Telecomunicações,VIVT3,TELEF BRASIL
82,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,Emp. Adm. Part. - Energia Elétrica,TIMS3,TIM
83,53.113.791/0001-22,TOTVS S.A,Comunicação e Informática,TOTS3,TOTVS
84,33.256.439/0001-39,ULTRAPAR PARTICIPAÇÕES SA,Emp. Adm. Part. - Petróleo e Gás,UGPA3,ULTRAPAR
85,17.157.850/0001-09,USIMINAS,Metalurgia e Siderurgia,USIM5,USIMINAS
86,02.812.190/0001-77,INVESTVALEPAR,Comunicação e Informática,VALE3,VALE
87,17.157.215/0001-13,ADUBOS VIANNA,Petroquímicos e Borracha,VIIA3,VIA
88,34.274.233/0001-02,VIBRA ENERGIA S/A,Comércio (Atacado e Varejo),VBBR3,VIBRA
89,84.429.695/0001-11,WEG SA,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",WEGE3,WEG
90,08.807.432/0001-10,YDUQS PARTICIPACOES S.A.,Emp. Adm. Part. - Educação,YDUQ3,YDUQS PART
