Codigo;Acao;Tipo;Qtde. Teorica;Part. (%)
MRVE3;MRV;ON      NM;294.643.879;0,163
MULT3;MULTIPLAN;ON      N2;272.718.548;0,280
PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0,170
PETR3;PETROBRAS;ON      N2;2.703.343.822;4,564
PETR4;PETROBRAS;PN      N2;4.566.442.248;7,206
PRIO3;PETRORIO;ON      NM;839.159.130;1,006
PETZ3;PETZ;ON      NM;301.553.522;0,245
POSI3;POSITIVO TEC;ON      NM;78.053.723;0,029
QUAL3;QUALICORP;ON      NM;277.027.077;0,165
RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,161
RDOR3;REDE D OR;ON      NM;562.360.943;1,331
RAIL3;RUMO S.A.;ON      NM;1.216.056.103;0,875
SBSP3;SABESP;ON      NM;340.001.934;0,653
SANB11;SANTANDER BR;UNT;362.703.399;0,521
CSNA3;SID NACIONAL;ON;642.398.790;0,748
SULA11;SUL AMERICA;UNT     N2;284.771.028;0,465
SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,858
TAEE11;TAESA;UNT     N2;218.568.234;0,400
VIVT3;TELEF BRASIL;ON  EJ;433.476.952;1,008
TIMS3;TIM;ON      NM;808.619.532;0,511
TOTS3;TOTVS;ON      NM;519.851.955;0,797
UGPA3;ULTRAPAR;ON      NM;1.085.952.374;0,746
USIM5;USIMINAS;PNA     N1;514.680.651;0,351
VALE3;VALE;ON      NM;3.843.570.705;16,463
VIIA3;VIA;ON      NM;1.596.295.753;0,281
VBBR3;VIBRA;ON      NM;1.131.883.365;1,239
WEGE3;WEG;ON  ED  NM;1.484.859.030;2,026
YDUQ3;YDUQS PART;ON      NM;300.833.122;0,297
Quantidade Te rica Total;;;95.442.393.866;100,000
Redutor;;;19.042.362,31531903;
